ID,Source,Destination,Target,Type,Delivered,Search_Path_Length,Connection_Path_Length,Search_Path,Connection_Path
6002,4,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,4>1,4>1
6003,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,2>8>6>8>6>8>6,6
6004,2,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,2>0,2>0
6005,1,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,1>9,1>9
6006,4,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,4>6>8>3,4>6>8>3
6007,1,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,1>7>3,1>7>3
6008,1,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,1>4,1>4
6009,0,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,0>9,0>9
6010,1,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,1>4,1>4
6011,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
6012,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,4>6>8>6>8>6>8,8
6013,9,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,3,3,9>0>5>7,9>0>5>7
6014,8,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,3,3,8>2>0>1,8>2>0>1
6015,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
6016,2,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>7,2>8>7
6017,0,0,0.580265,class peersim.dht.message.OneWayPingMessage,false,4,0,0>9>0>9>0,0
6018,3,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,3>8,3>8
6019,6,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,6>4,6>4
6020,7,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,7>8,7>8
